time,knee_angle_l
14.35,2.31040146
14.3666667,2.27892454
14.3833333,2.34128486
14.4,2.3776786
14.4166667,2.39279977
14.4333333,2.83573315
14.45,2.47385176
14.4666667,2.92572831
14.4833333,2.57167952
14.5,2.61018966
14.5166667,2.64647432
14.5333333,2.67171726
14.55,2.69994662
14.5666667,2.7268266
14.5833333,3.16391295
14.6,2.78450954
14.6166667,2.77761499
14.6333333,2.80959117
14.65,2.8166071
14.6666667,2.82650599
14.6833333,2.87236138
14.7,2.90070789
14.7166667,2.94823007
14.7333333,2.97268706
14.75,3.04288747
14.7666667,3.09119745
14.7833333,3.12239313
14.8,3.12434653
14.8166667,3.08735398
14.8333333,3.08014233
14.85,3.09944436
14.8666667,3.04418424
14.8833333,2.94469922
14.9,2.86637317
14.9166667,2.81868701
14.9333333,2.86145185
14.95,2.84958983
14.9666667,2.84162475
14.9833333,2.85175793
15,2.85433733
15.0166667,2.80350832
15.0333333,2.8076751
15.05,2.82612663
15.0666667,2.90378227
15.0833333,3.02443521
15.1,3.2474526
15.1166667,3.39339496
15.1333333,3.58261248
15.15,3.80780421
15.1666667,3.95585816
15.1833333,4.1226196
15.2,4.19321786
15.2166667,4.29999646
15.2333333,4.4164585
15.25,4.51571372
15.2666667,4.60591441
15.2833333,4.69383062
15.3,4.73522606
15.3166667,4.90494801
15.3333333,5.07611298
15.35,5.20414212
15.3666667,5.39095493
15.3833333,5.61697233
15.4,5.94654712
15.4166667,6.35223895
15.4333333,6.89124655
15.45,7.40840883
15.4666667,8.15961149
15.4833333,8.90180312
15.5,9.83055645
15.5166667,10.92052711
15.5333333,12.14611446
15.55,13.44653449
15.5666667,15.10827045
15.5833333,16.91400318
15.6,18.90284403
15.6166667,20.80676355
15.6333333,22.87591491
15.65,24.78629485
15.6666667,26.58755066
15.6833333,27.91054336
15.7,28.91904944
15.7166667,29.60265908
15.7333333,29.94690678
15.75,29.51188575
15.7666667,28.84565291
15.7833333,27.81775081
15.8,26.63921978
15.8166667,25.39360461
15.8333333,23.5278412
